,Cities,Country,Date,Cloudiness,Humidity,Latitude,Longtitude,Max Temperature,Windspeed
225,Susanville,US,1598385493,1,30,40.42,-120.65,84.99,4.7
226,Balkhash,KZ,1598385493,0,57,46.84,74.98,66.36,4.47
227,Chokurdakh,RU,1598385493,100,90,70.63,147.92,36.97,4.83
228,Talnakh,RU,1598385493,88,82,69.49,88.4,57.2,8.95
229,Leh,IN,1598385493,17,37,34.17,77.58,63.63,2.84
230,Kavieng,PG,1598385493,3,79,-2.57,150.8,81.18,11.05
231,Pisco,PE,1598385493,33,72,-13.7,-76.22,66.2,10.29
232,Lorengau,PG,1598385493,97,78,-2.02,147.27,81.91,13.51
233,Torbay,CA,1598385493,75,77,47.67,-52.73,63.0,12.75
234,Stanton,US,1598385494,1,46,33.8,-117.99,91.99,4.7
235,Constitución,CL,1598385494,76,79,-35.33,-72.42,53.87,22.48
236,Anadyr,RU,1598385494,90,100,64.75,177.48,46.4,6.71
237,Ténenkou,ML,1598385494,99,75,14.46,-4.92,80.89,4.21
238,São Filipe,CV,1598385494,26,82,14.9,-24.5,79.99,5.1
239,Port Macquarie,AU,1598385494,33,81,-31.43,152.92,43.0,9.17
240,Ampanihy,MG,1598385494,0,88,-24.7,44.75,66.97,6.15
241,Roald,NO,1598385494,75,81,62.58,6.13,50.0,4.7
242,Ahipara,NZ,1598385495,21,77,-35.17,173.17,52.32,12.71
243,Palana,RU,1598385495,53,84,59.12,159.97,41.68,6.93
244,Muros,ES,1598385495,66,91,42.78,-9.06,69.01,1.99
245,Goundam,ML,1598385495,98,43,16.41,-3.67,91.76,1.05
246,Mehamn,NO,1598385495,75,81,71.04,27.85,48.2,4.7
247,Puerto del Rosario,ES,1598385495,4,74,28.5,-13.86,78.8,11.41
248,Te Anau,NZ,1598385495,58,96,-45.42,167.72,30.2,1.95
249,Dunmore Town,BS,1598385495,0,76,25.5,-76.65,84.18,15.46
250,Chicama,PE,1598385495,0,53,-7.84,-79.15,70.93,11.25
251,Iqaluit,CA,1598385495,75,58,63.75,-68.51,53.6,12.75
252,Charter Township of Clinton,US,1598385496,10,43,42.59,-82.92,86.0,9.33
253,Morro Bay,US,1598385496,9,67,35.37,-120.85,82.99,4.0
254,Lida,BY,1598385496,20,92,53.88,25.3,55.53,7.34
255,Broken Hill,AU,1598385496,0,60,-31.95,141.43,42.8,6.93
256,Hay River,CA,1598385496,90,100,60.82,-115.8,57.2,3.36
257,Boende,CD,1598385496,37,91,-0.22,20.87,72.97,0.07
258,Tshikapa,CD,1598385496,4,48,-6.42,20.8,81.73,1.21
259,Kushmurun,KZ,1598385496,66,64,52.45,64.63,63.32,9.13
260,Chesterville,US,1598385355,51,84,44.55,-70.09,75.0,12.06
261,Nador,MA,1598385408,0,83,35.17,-2.93,78.8,2.24
262,Cabra,ES,1598385496,0,30,37.47,-4.44,91.0,5.73
263,Katsuura,JP,1598385497,75,94,35.13,140.3,78.01,9.17
264,Rome,US,1598385471,20,65,43.21,-75.46,80.01,16.11
265,Christchurch,NZ,1598385276,2,69,-43.53,172.63,39.99,9.17
266,Yerofey Pavlovich,RU,1598385497,73,95,53.97,121.97,45.45,3.33
267,Zarand,IR,1598385497,88,34,30.81,56.56,72.45,3.49
268,Lüderitz,NA,1598385497,0,78,-26.65,15.16,56.98,11.3
269,Husavik,IS,1598385497,20,81,66.04,-17.34,50.0,6.93
270,Muhafazat Lahij,YE,1598385498,100,44,13.17,44.58,88.75,7.0
271,Sinnamary,GF,1598385498,0,75,5.38,-52.95,83.01,7.87
272,Airai,TL,1598385498,0,45,-8.93,125.41,54.81,4.72
273,Clyde River,CA,1598385498,1,67,70.47,-68.59,44.69,7.9
274,Ancud,CL,1598385498,75,81,-41.87,-73.82,55.99,6.93
275,Novikovo,RU,1598385498,5,49,51.15,37.89,67.6,3.89
276,Makīnsk,KZ,1598385498,52,76,52.63,70.42,55.04,10.31
277,Nouakchott,MR,1598385498,20,74,18.09,-15.98,84.2,18.34
278,Coos Bay,US,1598385498,1,63,43.37,-124.22,78.01,21.92
279,Leigh,GB,1598385498,100,99,53.48,-2.52,60.01,11.01
280,Helong,CN,1598385498,100,83,42.54,129.0,66.78,1.16
281,Flinders,AU,1598385478,0,83,-34.58,150.86,45.0,1.01
282,St. George's,GD,1598385481,9,75,12.06,-61.75,84.11,13.65
283,Morón,AR,1598385499,100,83,-34.65,-58.62,64.99,4.0
284,Preston,GB,1598385499,75,100,53.77,-2.72,60.8,19.46
285,Teguise,ES,1598385499,18,65,29.06,-13.56,82.4,16.11
286,Guarapari,BR,1598385211,1,57,-20.67,-40.5,73.99,18.14
287,Moyo,UG,1598385499,61,96,3.66,31.72,65.86,1.63
288,Filingué,NE,1598385499,20,57,14.35,3.32,85.86,9.35
289,Yelizovo,RU,1598385499,92,100,53.19,158.38,42.8,6.71
290,Hofn,IS,1598385499,4,82,64.25,-15.21,50.65,3.78
291,Berlevåg,NO,1598385499,40,87,70.86,29.09,50.0,6.93
292,Camacha,PT,1598385500,40,78,33.08,-16.33,73.4,11.41
293,Pachino,IT,1598385500,0,69,36.72,15.09,80.01,3.0
294,Vertou,FR,1598385500,90,82,47.17,-1.47,64.99,6.93
295,Ormara,PK,1598385500,100,82,25.21,64.64,82.53,8.46
296,Chabahar,IR,1598385500,40,79,25.29,60.64,84.2,6.93
297,Teahupoo,PF,1598385500,20,69,-17.83,-149.27,80.6,3.36
298,Grand-Santi,GF,1598385500,67,45,4.25,-54.38,91.45,4.12
299,Vostok,RU,1598385500,69,100,46.49,135.88,59.72,2.8
300,Kodinsk,RU,1598385500,49,86,58.69,99.18,53.96,2.44
301,Lagoa,PT,1598385500,98,89,39.05,-27.98,73.9,19.64
302,Portsmouth,GB,1598385501,52,85,50.8,-1.09,64.0,11.01
303,Malindi,KE,1598385501,19,80,-3.22,40.12,76.95,15.32
304,Areia Branca,BR,1598385501,0,73,-4.96,-37.14,79.36,17.05
305,Kutum,SD,1598385501,20,58,14.2,24.67,78.62,5.73
306,San Joaquin,VE,1598385501,11,65,10.26,-67.79,83.86,6.22
307,Maţāy,EG,1598385501,0,24,28.42,30.78,85.93,12.19
308,Kiryat Gat,IL,1598385501,0,35,31.61,34.76,82.0,4.63
309,Sloboda,RU,1598385501,96,37,51.14,40.3,68.09,6.8
310,Saint-Cyr-sur-Loire,FR,1598385367,100,68,47.4,0.67,68.0,16.11
311,Conakry,GN,1598385315,90,94,9.54,-13.68,77.0,9.17
312,Nuuk,GL,1598385501,40,58,64.18,-51.72,53.6,5.82
313,Hambantota,LK,1598385502,100,82,6.12,81.12,80.38,11.45
314,Luanda,AO,1598385502,75,78,-8.84,13.23,75.2,8.05
315,Boulder City,US,1598385502,1,13,35.98,-114.83,107.01,10.04
316,Eureka,US,1598385502,90,87,40.8,-124.16,69.01,5.82
317,Coquimbo,CL,1598385502,75,82,-29.95,-71.34,55.4,12.75
318,Berbera,SO,1598385502,75,46,10.44,45.01,92.55,17.07
319,Porto Murtinho,BR,1598385502,0,37,-21.7,-57.88,91.72,7.83
320,Yulara,AU,1598385502,0,26,-25.24,130.99,60.8,8.05
321,Ayagoz,KZ,1598385502,0,68,47.97,80.44,53.47,6.13
322,Jiwani,PK,1598385503,99,81,25.05,61.74,81.97,9.66
323,Vila Franca do Campo,PT,1598385503,20,83,37.72,-25.43,77.0,9.17
324,Bandarbeyla,SO,1598385503,8,83,9.49,50.81,76.48,30.42
325,Morondava,MG,1598385503,6,81,-20.28,44.28,72.27,13.82
326,Āsosa,ET,1598385503,100,100,10.07,34.53,62.64,1.34
327,Haines Junction,CA,1598385503,93,54,60.75,-137.51,57.61,5.95
328,Katubao,PH,1598385503,50,77,5.89,124.83,79.63,1.74
329,Puerto Colombia,CO,1598385503,75,74,10.99,-74.95,84.2,6.93
330,Longyearbyen,SJ,1598385503,0,69,78.22,15.64,39.2,4.7
331,Cidreira,BR,1598385503,0,80,-30.18,-50.21,63.73,23.51
332,George Town,MY,1598385454,20,94,5.41,100.34,78.8,2.24
333,Rawson,AR,1598385504,99,70,-43.3,-65.1,46.72,15.3
334,Sarangani,PH,1598385504,76,77,5.4,125.46,82.27,8.46
335,Hue,VN,1598385281,20,74,16.47,107.6,82.4,5.82
336,Bāfq,IR,1598385335,0,33,31.61,55.41,71.56,18.05
337,Kontagora,NG,1598385504,10,94,10.4,5.47,71.71,2.26
338,Khovd,MN,1598385504,0,50,48.01,91.64,60.01,9.24
339,Monrovia,LR,1598385504,75,94,6.3,-10.8,77.0,9.26
340,Panubigan,PH,1598385504,100,79,7.43,123.35,80.58,4.56
341,Vila Velha,BR,1598385381,3,49,-20.33,-40.29,73.99,18.34
342,Zhezkazgan,KZ,1598385505,0,40,47.8,67.71,62.62,6.69
343,Atambua,ID,1598385505,0,72,-9.11,124.89,64.51,5.01
344,Eyrarbakki,IS,1598385505,75,76,63.86,-21.15,52.0,6.93
345,Mercedes,AR,1598385350,100,76,-34.65,-59.43,69.01,1.01
346,Rio Grande,BR,1598385505,68,64,-32.03,-52.1,69.8,13.87
347,Guatire,VE,1598385362,80,85,10.48,-66.54,73.0,2.66
348,Tigil',RU,1598385505,96,70,57.8,158.67,41.22,3.74
349,São Francisco de Assis,BR,1598385505,95,66,-29.55,-55.13,78.17,8.61
350,Cockburn Town,TC,1598385505,40,70,21.46,-71.14,84.2,16.11
351,Angoche,MZ,1598385505,0,81,-16.23,39.91,73.33,9.78
352,Fare,PF,1598385506,18,81,-16.7,-151.02,76.68,20.0
353,Harper,LR,1598385506,90,82,4.38,-7.72,75.52,6.89
354,Fandriana,MG,1598385506,95,91,-20.23,47.38,53.96,2.01
355,Mayya,RU,1598385506,0,80,61.73,130.28,30.2,4.47
356,Batagay-Alyta,RU,1598385506,0,94,67.8,130.41,31.68,0.43
357,Jining,CN,1598385506,100,81,35.41,116.58,73.24,4.03
358,Bontang,ID,1598385506,65,85,0.13,117.5,77.22,6.71
359,Zhangye,CN,1598385506,0,24,38.93,100.45,73.22,8.1
360,Sergeevka,KZ,1598385506,92,88,53.88,67.42,58.37,9.75
361,Barinitas,VE,1598385506,100,83,8.76,-70.41,77.41,1.57
362,Kununurra,AU,1598385507,18,31,-15.77,128.73,69.8,6.93
363,Russell,US,1598385507,40,66,32.35,-85.2,88.0,6.93
364,Karasburg,NA,1598385507,0,50,-28.02,18.75,53.73,9.53
365,Brisbane,AU,1598385321,20,66,-27.47,153.03,52.0,9.17
366,Saint Anthony,US,1598385507,20,58,45.02,-93.22,89.01,13.87
367,Żurrieq,MT,1598385507,20,78,35.83,14.47,79.0,5.82
368,Florø,NO,1598385507,20,71,61.6,5.03,51.8,3.36
369,Kedrovyy,RU,1598385507,100,93,56.17,91.82,50.0,4.47
370,Melfi,IT,1598385507,0,51,41.0,15.65,79.0,3.09
371,Osoyoos,CA,1598385507,20,52,49.03,-119.45,80.6,8.05
372,Jalu,LY,1598385508,0,36,29.03,21.55,83.71,15.7
373,Banda Aceh,ID,1598385508,20,80,5.56,95.32,79.41,3.67
374,Talara,PE,1598385508,12,60,-4.58,-81.27,73.4,18.34
